id,type,trait_count,trait1,trait2,trait3,trait4,trait5,trait6,trait7,trait8,trait9,trait10,trait11,trait12,Rarity,TimesSold,LastPrice,TimeInDays
8708,Tiger,1,Sword,,,,,,,,,,,,1344,1.0,20000.0,144.0
8709,Alien,2,Special Background,Hockey Stick,,,,,,,,,,,3383,,,
8710,Tiger,5,Star Suit,Chestplate,Belt,Covered Helmet,Hockey Stick,,,,,,,,3568,5.0,7975.0,71.0
8711,Frog,4,Camo Suit,Chestplate,Belt,Candle,,,,,,,,,1828,,,
8712,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,2.0,2999.0,259.0
8713,Arcane,3,Star Suit,Chestplate,Belt,,,,,,,,,,7926,,,
8714,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,,,
8715,Arcane,4,Star Suit,Chestplate,Belt,Sword,,,,,,,,,5045,,,
8716,Robot,6,Camo Suit,Chestplate,Belt,Covered Helmet,Watch,Wool Boots,,,,,,,2808,,,
8717,Cat,5,Camo Suit,Chestplate,Belt,Covered Helmet,Jo-Jo,,,,,,,,3274,2.0,6887.0,99.0
8718,Alien,5,Camo Suit,Belt,Backpack,Covered Helmet,Watch,,,,,,,,4016,,,
8719,Parrot,3,Chestplate,Belt,Amulet,,,,,,,,,,6090,,,
8720,Cat,4,Chestplate,Belt,Ski Goggles,Flowers,,,,,,,,,4046,,,
8721,Dog,7,Star Suit,Chestplate,Belt,Covered Helmet,Sun Glasses,Flag,Blaster,,,,,,125,,,
8722,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,3.0,3550.0,242.0
8723,Robot,4,Special Background,Chestplate,Belt,Sun Glasses,,,,,,,,,5386,,,
8724,Ape,3,Chestplate,Belt,Backpack,,,,,,,,,,7012,,,
8725,Lion,1,Snorkel,,,,,,,,,,,,1078,,,
8726,Alien,4,Camo Suit,Chestplate,Amulet,Belt,,,,,,,,,7894,,,
8727,Tiger,4,Chestplate,Belt,Snorkel,Wool Boots,,,,,,,,,5291,,,
8728,Alien,3,Belt,Covered Helmet,Bazooka,,,,,,,,,,4953,1.0,775.0,273.0
8729,Dog,2,Chestplate,Bazooka,,,,,,,,,,,4124,1.0,6999.0,173.0
8730,Bear,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,7105,,,
8731,Lion,4,Camo Suit,Chestplate,Belt,Baguette,,,,,,,,,1940,1.0,4700.0,261.0
8732,Tiger,3,Chestplate,Belt,Sword,,,,,,,,,,6786,,,
8733,Robot,6,Camo Suit,Chestplate,Belt,Revolver,Wool Boots,Jo-Jo,,,,,,,731,,,
8734,Arcane,3,Star Suit,Chestplate,Belt,,,,,,,,,,7926,,,
8735,Lion,4,Special Background,Chestplate,Eye Patch,Blaster,,,,,,,,,1101,,,
8736,Robot,4,Star Suit,Chestplate,Belt,Hockey Stick,,,,,,,,,4683,,,
8737,Parrot,4,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,,4158,,,
8738,Cat,4,Special Background,Chestplate,Amulet,Covered Helmet,,,,,,,,,6752,,,
8739,Frog,3,Camo Suit,Belt,Covered Helmet,,,,,,,,,,7121,,,
8740,Tiger,6,Camo Suit,Chestplate,Belt,Covered Helmet,Sun Glasses,Wool Boots,,,,,,,1831,,,
8741,Dog,5,Camo Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,5766,1.0,3750.0,187.0
8742,Dog,3,Chestplate,Backpack,Covered Helmet,,,,,,,,,,6736,,,
8743,Robot,2,VR,Bazooka,,,,,,,,,,,2515,,,
8744,Cat,4,Special Background,Chestplate,Sun Glasses,Pistol,,,,,,,,,3287,,,
8745,Dog,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,8206,,,
8746,Robot,1,Belt,,,,,,,,,,,,2446,,,
8747,Alien,4,Chestplate,Belt,Eye Patch,Wool Boots,,,,,,,,,5855,,,
8748,Bear,4,Star Suit,Belt,Covered Helmet,Binoculars,,,,,,,,,2172,1.0,7899.0,9.0
8749,Cat,4,Chestplate,Belt,Eye Patch,Anchor,,,,,,,,,3107,,,
8750,Alien,4,Star Suit,Chestplate,Belt,Wine,,,,,,,,,3935,,,
8751,Cat,5,Camo Suit,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,5123,,,
8752,Arcane,4,Belt,Covered Helmet,Wool Boots,Arc,,,,,,,,,2510,,,
8753,Arcane,6,Star Suit,Chestplate,Amulet,Belt,Covered Helmet,Arc,,,,,,,885,1.0,9000.0,209.0
8754,Parrot,4,Camo Suit,Chestplate,Belt,Blaster,,,,,,,,,2109,,,
8755,Shark,3,Belt,Covered Helmet,Anchor,,,,,,,,,,807,,,
8756,Alien,2,Chestplate,Pistol,,,,,,,,,,,5466,2.0,3200.0,218.0
8757,Cat,3,Chestplate,Belt,Eye Patch,,,,,,,,,,8007,,,
8758,Dog,3,Belt,Covered Helmet,Arc,,,,,,,,,,4740,,,
8759,Parrot,3,Chestplate,Belt,Wool Boots,,,,,,,,,,6540,,,
8760,Elephant,3,Star Suit,Belt,Harpoon,,,,,,,,,,184,,,
8761,Alien,5,Star Suit,Chestplate,Belt,Watch,Arc,,,,,,,,2789,1.0,6500.0,4.0
8762,Dog,5,Special Background,Chestplate,Belt,Covered Helmet,Sun Glasses,,,,,,,,4833,1.0,4000.0,257.0
8763,Frog,2,Chestplate,Belt,,,,,,,,,,,6242,1.0,5750.0,240.0
8764,Frog,3,Chestplate,Belt,Lamp Fish,,,,,,,,,,2208,1.0,6000.0,235.0
8765,Tiger,3,Chestplate,Belt,Arc,,,,,,,,,,4118,,,
8766,Cat,5,Camo Suit,Chestplate,Belt,Covered Helmet,Sword,,,,,,,,5615,,,
8767,Alien,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9317,,,
8768,Arcane,4,Chestplate,Belt,Covered Helmet,Revolver,,,,,,,,,5223,1.0,8500.0,94.0
8769,Cat,3,Chestplate,Belt,VR,,,,,,,,,,8264,,,
8770,Tiger,3,Belt,Covered Helmet,Bazooka,,,,,,,,,,4443,,,
8771,Robot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Anchor,,,,,,,,3386,1.0,4995.0,213.0
8772,Ape,3,Special Background,Chestplate,Belt,,,,,,,,,,8639,,,
8773,Dog,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,7693,,,
8774,Dog,5,Belt,Covered Helmet,Sword,Wool Boots,Flowers,,,,,,,,2445,,,
8775,Dog,5,Camo Suit,Chestplate,Belt,Umbrella,Covered Helmet,,,,,,,,4970,1.0,1669.0,267.0
8776,Alien,3,Chestplate,Belt,Ski Goggles,,,,,,,,,,7777,,,
8777,Arcane,5,Chestplate,Belt,Flag,Watch,Hockey Stick,,,,,,,,1292,,,
8778,Alien,3,Chestplate,Belt,Watch,,,,,,,,,,9054,,,
8779,Lion,4,Covered Helmet,Watch,Pistol,Hockey Stick,,,,,,,,,1445,,,
8780,Tiger,5,Chestplate,Amulet,Belt,Covered Helmet,Arc,,,,,,,,2364,,,
8781,Shark,3,Camo Suit,Chestplate,Belt,,,,,,,,,,1846,,,
8782,Tiger,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,7326,,,
8783,Robot,3,Star Suit,Chestplate,Belt,,,,,,,,,,9299,,,
8784,Parrot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,3407,,,
8785,Frog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7734,,,
8786,Alien,4,Chestplate,Belt,Snorkel,Lamp Fish,,,,,,,,,2018,,,
8787,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
8788,Cat,2,Special Background,Belt,,,,,,,,,,,7577,,,
8789,Dog,6,Chestplate,Belt,Umbrella,Covered Helmet,Watch,Pistol,,,,,,,1156,,,
8790,Cat,4,Star Suit,Chestplate,Belt,Flag,,,,,,,,,6205,2.0,4000.0,239.0
8791,Cat,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9679,,,
8792,Tiger,3,Chestplate,Belt,Anchor,,,,,,,,,,4314,1.0,4100.0,259.0
8793,Frog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6916,,,
8794,Robot,2,Belt,Ski Goggles,,,,,,,,,,,5919,,,
8795,Shark,4,Chestplate,Belt,Covered Helmet,Pistol,,,,,,,,,1079,,,
8796,Wolf,3,Chestplate,Belt,VR,,,,,,,,,,489,3.0,32000.0,66.0
8797,Dog,4,Belt,Covered Helmet,VR,Jo-Jo,,,,,,,,,2941,,,
8798,Arcane,5,Star Suit,Chestplate,Amulet,Belt,Flowers,,,,,,,,2490,1.0,1490.0,271.0
8799,Ape,4,Chestplate,Belt,Covered Helmet,VR,,,,,,,,,7991,,,
8800,Tiger,4,Chestplate,Belt,Covered Helmet,Sword,,,,,,,,,6485,,,
8801,Parrot,6,Camo Suit,Chestplate,Belt,Umbrella,Covered Helmet,Wool Boots,,,,,,,1213,1.0,6000.0,241.0
8802,Tiger,7,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,Watch,Wool Boots,,,,,,301,,,
8803,Bear,4,Chestplate,Covered Helmet,Wool Boots,Hockey Stick,,,,,,,,,3645,,,
8804,Bear,5,Camo Suit,Chestplate,Belt,Snorkel,Revolver,,,,,,,,3018,,,
8805,Arcane,5,Chestplate,Belt,Covered Helmet,X-Ray,Bazooka,,,,,,,,1681,1.0,4750.0,261.0
8806,Robot,4,Chestplate,Belt,Jetpack,Sun Glasses,,,,,,,,,4029,1.0,4249.0,231.0
8807,Dog,4,Chestplate,Belt,Revolver,Wine,,,,,,,,,2561,,,
8808,Bear,6,Chestplate,Belt,Umbrella,Covered Helmet,Snorkel,Watch,,,,,,,1093,,,
8809,Lion,4,Chestplate,Belt,Backpack,VR,,,,,,,,,3168,1.0,7769.0,95.0
8810,Cat,5,Chestplate,Belt,Covered Helmet,Eye Patch,Pistol,,,,,,,,3637,,,
8811,Alien,4,Camo Suit,Belt,Covered Helmet,Harpoon,,,,,,,,,4912,,,
8812,Ape,3,Chestplate,Belt,Backpack,,,,,,,,,,7012,,,
8813,Tiger,4,Chestplate,Belt,Umbrella,Covered Helmet,,,,,,,,,5573,2.0,4598.0,192.0
8814,Ape,4,Camo Suit,Belt,Covered Helmet,Lamp Fish,,,,,,,,,3141,,,
8815,Dog,4,Belt,Covered Helmet,Ski Goggles,Revolver,,,,,,,,,4701,1.0,7888.0,81.0
8816,Rhino,6,Camo Suit,Chestplate,Amulet,Belt,Covered Helmet,Watch,,,,,,,368,,,
8817,Ape,4,Belt,Covered Helmet,Snorkel,Amulet,,,,,,,,,5512,1.0,1250.0,265.0
8818,Dog,2,Belt,Covered Helmet,,,,,,,,,,,8991,2.0,6541.0,96.0
8819,Dog,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,8206,,,
8820,Tiger,1,Covered Helmet,,,,,,,,,,,,2226,,,
8821,Cat,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9506,2.0,5050.0,202.0
8822,Tiger,5,Chestplate,Amulet,Belt,Covered Helmet,Wool Boots,,,,,,,,5166,,,
8823,Alien,3,Belt,Covered Helmet,Eye Patch,,,,,,,,,,7640,,,
8824,Arcane,2,Chestplate,Belt,,,,,,,,,,,7025,3.0,6800.0,41.0
8825,Cat,3,Star Suit,Belt,Ski Goggles,,,,,,,,,,7383,,,
8826,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Watch,Bazooka,,,,,,,1379,1.0,1250.0,278.0
8827,Dog,5,Star Suit,Belt,Umbrella,Covered Helmet,Flowers,,,,,,,,2531,,,
8828,Tiger,3,Belt,Covered Helmet,Flag,,,,,,,,,,5941,,,
8829,Lion,6,Star Suit,Chestplate,Belt,Backpack,Covered Helmet,Wool Boots,,,,,,,1240,,,
8830,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,,,
8831,Dog,3,Special Background,Chestplate,Covered Helmet,,,,,,,,,,8653,,,
8832,Dog,4,Chestplate,Amulet,Belt,Jetpack,,,,,,,,,5282,,,
8833,Alien,2,Special Background,Belt,,,,,,,,,,,7368,1.0,3750.0,242.0
8834,Dog,1,Chestplate,,,,,,,,,,,,2696,1.0,5200.0,244.0
8835,Ape,5,Camo Suit,Belt,Covered Helmet,Snorkel,Cardano,,,,,,,,3154,2.0,12400.0,91.0
8836,Alien,3,Chestplate,Jetpack,VR,,,,,,,,,,4739,1.0,6999.0,69.0
8837,Tiger,3,Camo Suit,Chestplate,Belt,,,,,,,,,,8970,,,
8838,Ape,4,Camo Suit,Chestplate,Belt,Wool Boots,,,,,,,,,8364,,,
8839,Bear,5,Camo Suit,Belt,Covered Helmet,Watch,Arc,,,,,,,,2295,1.0,8500.0,213.0
8840,Frog,4,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,,6155,1.0,2175.0,261.0
8841,Dog,2,Belt,Revolver,,,,,,,,,,,6002,,,
8842,Fish,4,Chestplate,Belt,Watch,Wool Boots,,,,,,,,,385,,,
8843,Dog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9471,,,
8844,Bear,4,Belt,Covered Helmet,Ski Goggles,Sword,,,,,,,,,4044,1.0,17000.0,206.0
8845,Alien,2,Belt,Wool Boots,,,,,,,,,,,7705,,,
8846,Ape,3,Chestplate,Belt,Sun Glasses,,,,,,,,,,7589,,,
8847,Dog,4,Camo Suit,Chestplate,Belt,Cardano,,,,,,,,,6076,,,
8848,Robot,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9206,2.0,3500.0,233.0
8849,Cat,5,Star Suit,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,5694,,,
8850,Elephant,3,Chestplate,Belt,X-Ray,,,,,,,,,,243,,,
8851,Bear,1,Wool Boots,,,,,,,,,,,,1730,1.0,7000.0,215.0
8852,Dog,5,Star Suit,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,7385,,,
8853,Frog,4,Star Suit,Chestplate,Belt,Wool Boots,,,,,,,,,5600,,,
8854,Frog,6,Chestplate,Amulet,Belt,Umbrella,Covered Helmet,Wool Boots,,,,,,,975,,,
8855,Shark,3,Star Suit,Chestplate,Belt,,,,,,,,,,1852,,,
8856,Ape,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,6397,,,
8857,Cat,3,Chestplate,Covered Helmet,Sword,,,,,,,,,,7667,,,
8858,Cat,1,Belt,,,,,,,,,,,,2747,,,
8859,Arcane,3,Belt,Umbrella,Covered Helmet,,,,,,,,,,4836,,,
8860,Cat,5,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,6852,2.0,7400.0,115.0
8861,Shark,4,Camo Suit,Chestplate,Belt,Harpoon,,,,,,,,,840,2.0,8270.0,263.0
8862,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,,,
8863,Dog,4,Camo Suit,Chestplate,Belt,Wine,,,,,,,,,4051,,,
8864,Bear,6,Chestplate,Belt,Covered Helmet,VR,Wool Boots,Cardano,,,,,,,1151,,,
8865,Dog,4,Chestplate,Amulet,Covered Helmet,Axe,,,,,,,,,4290,2.0,3395.0,217.0
8866,Alien,5,Camo Suit,Chestplate,Belt,Sword,Watch,,,,,,,,4536,1.0,4400.0,256.0
8867,Parrot,3,Star Suit,Belt,Umbrella,,,,,,,,,,4319,,,
8868,Frog,4,Chestplate,Belt,VR,Axe,,,,,,,,,2437,,,
8869,Robot,4,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,,5735,,,
8870,Cat,2,Belt,Covered Helmet,,,,,,,,,,,9014,1.0,5700.0,98.0
8871,Ape,4,Chestplate,Belt,Covered Helmet,Ski Goggles,,,,,,,,,7547,2.0,7190.0,94.0
8872,Tiger,4,Star Suit,Belt,Covered Helmet,Ski Goggles,,,,,,,,,6034,2.0,5800.0,114.0
8873,Tiger,4,Belt,Umbrella,Watch,Binoculars,,,,,,,,,1068,1.0,1450.0,14.0
8874,Ape,3,Belt,Covered Helmet,Harpoon,,,,,,,,,,5436,1.0,3789.0,243.0
8875,Ape,4,Chestplate,Belt,Snorkel,Sword,,,,,,,,,4776,,,
8876,Wolf,6,Star Suit,Chestplate,Belt,Covered Helmet,Sword,Harpoon,,,,,,,316,,,
8877,Bear,2,Special Background,Chestplate,,,,,,,,,,,6303,,,
8878,Alien,4,Chestplate,Belt,Covered Helmet,Snorkel,,,,,,,,,7463,,,
8879,Tiger,6,Camo Suit,Chestplate,Belt,Backpack,Covered Helmet,Watch,,,,,,,1678,,,
8880,Ape,2,Belt,Covered Helmet,,,,,,,,,,,8788,1.0,779.0,269.0
8881,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,Sun Glasses,,,,,,,,5449,1.0,4499.0,183.0
8882,Dog,3,Chestplate,Belt,Watch,,,,,,,,,,9226,1.0,4200.0,126.0
8883,Ape,6,Chestplate,Belt,Covered Helmet,Watch,Wool Boots,Flowers,,,,,,,1496,1.0,5475.0,179.0
8884,Robot,3,Star Suit,Chestplate,Belt,,,,,,,,,,9299,2.0,7200.0,77.0
8885,Robot,4,Belt,Umbrella,Covered Helmet,Sun Glasses,,,,,,,,,3870,,,
8886,Dog,6,Star Suit,Chestplate,Belt,Covered Helmet,VR,Lamp Fish,,,,,,,853,2.0,15000.0,212.0
8887,Tiger,5,Chestplate,Belt,Covered Helmet,Snorkel,Baguette,,,,,,,,1341,,,
8888,Cat,5,Camo Suit,Chestplate,Belt,Wool Boots,Wine,,,,,,,,2614,,,
8889,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
8890,Lion,2,Chestplate,Belt,,,,,,,,,,,6578,,,
8891,Alien,4,Star Suit,Chestplate,Belt,Umbrella,,,,,,,,,6010,,,
8892,Lion,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,8024,,,
8893,Frog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7214,,,
8894,Cat,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9487,1.0,699.0,272.0
8895,Ape,1,Belt,,,,,,,,,,,,2622,,,
8896,Frog,4,Chestplate,Amulet,Belt,Covered Helmet,,,,,,,,,5585,,,
8897,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
8898,Alien,7,Camo Suit,Chestplate,Belt,Covered Helmet,Sun Glasses,Watch,Baguette,,,,,,145,,,
8899,Elephant,5,Camo Suit,Chestplate,Belt,Snorkel,Flowers,,,,,,,,129,1.0,88999.0,89.0
8900,Robot,3,Belt,Eye Patch,Pistol,,,,,,,,,,4192,,,
8901,Parrot,3,Belt,Covered Helmet,Anchor,,,,,,,,,,3269,,,
8902,Cat,3,Belt,Covered Helmet,Flowers,,,,,,,,,,6338,5.0,9550.0,59.0
8903,Cat,4,Star Suit,Chestplate,Belt,Revolver,,,,,,,,,6758,,,
8904,Arcane,5,Camo Suit,Chestplate,Belt,X-Ray,Pistol,,,,,,,,2234,1.0,6212.066,197.0
8905,Bear,6,Camo Suit,Chestplate,Amulet,Belt,Snorkel,Cardano,,,,,,,960,1.0,5995.0,231.0
8906,Alien,3,Belt,Covered Helmet,Revolver,,,,,,,,,,7283,1.0,4099.0,125.0
8907,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Eye Patch,Amulet,,,,,,,2063,2.0,6750.0,125.0
8908,Robot,1,Belt,,,,,,,,,,,,2446,,,
8909,Parrot,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7428,1.0,8999.0,94.0
8910,Frog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6916,,,
8911,Bear,3,Camo Suit,Belt,Axe,,,,,,,,,,4667,,,
8912,Tiger,3,Chestplate,Belt,Eye Patch,,,,,,,,,,6987,,,
8913,Bear,3,Chestplate,Belt,Revolver,,,,,,,,,,6315,4.0,9000.0,76.0
8914,Bear,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8573,,,
8915,Dog,5,Star Suit,Chestplate,Belt,X-Ray,Pistol,,,,,,,,3320,,,
8916,Robot,4,Chestplate,Belt,Eye Patch,Candle,,,,,,,,,1838,,,
8917,Alien,3,Belt,Covered Helmet,Wool Boots,,,,,,,,,,8771,2.0,7100.0,91.0
8918,Cat,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9506,2.0,4900.0,205.0
8919,Dog,4,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,,3375,3.0,5900.0,185.0
8920,Frog,4,Chestplate,Belt,Covered Helmet,Jo-Jo,,,,,,,,,2785,1.0,2288.0,273.0
8921,Ape,3,Chestplate,Covered Helmet,Cardano,,,,,,,,,,6651,,,
8922,Dog,3,Camo Suit,Belt,Covered Helmet,,,,,,,,,,9613,,,
8923,Parrot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7957,,,
8924,Dog,3,Chestplate,Belt,Ski Goggles,,,,,,,,,,7999,1.0,4000.0,193.0
8925,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,2.0,5545.0,56.0
8926,Tiger,3,Camo Suit,Chestplate,Belt,,,,,,,,,,8970,,,
8927,Bear,1,Belt,,,,,,,,,,,,2176,,,
8928,Ape,3,Special Background,Chestplate,Belt,,,,,,,,,,8639,,,
8929,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,,,
8930,Arcane,4,Chestplate,Belt,Covered Helmet,Hockey Stick,,,,,,,,,3854,2.0,1200.0,274.0
8931,Frog,3,Belt,Backpack,Wool Boots,,,,,,,,,,3627,,,
8932,Dog,2,Belt,Covered Helmet,,,,,,,,,,,8991,,,
8933,Robot,5,Star Suit,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,5397,1.0,4000.0,238.0
8934,Frog,3,Chestplate,Belt,Flag,,,,,,,,,,4599,,,
8935,Ape,6,Camo Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,Harpoon,,,,,,,1176,,,
8936,Rhino,2,Chestplate,Belt,,,,,,,,,,,527,1.0,12000.0,261.0
8937,Parrot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7957,,,
8938,Tiger,3,Belt,Watch,Arc,,,,,,,,,,3415,1.0,5000.0,249.0
8939,Alien,5,Camo Suit,Chestplate,Belt,Watch,Axe,,,,,,,,3526,1.0,798.0,274.0
8940,Shark,4,Chestplate,Belt,Covered Helmet,Axe,,,,,,,,,939,,,
8941,Tiger,5,Chestplate,Amulet,Belt,Flag,Wool Boots,,,,,,,,2901,,,
8942,Alien,3,Belt,Covered Helmet,Pistol,,,,,,,,,,6747,1.0,3995.0,220.0
8943,Ape,2,Star Suit,Belt,,,,,,,,,,,8423,,,
8944,Alien,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9317,4.0,4444.0,120.0
8945,Arcane,6,Star Suit,Chestplate,Belt,Backpack,Covered Helmet,Eye Patch,,,,,,,1072,,,
8946,Frog,3,Chestplate,Belt,Wool Boots,,,,,,,,,,6290,,,
8947,Tiger,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8683,,,
8948,Alien,4,Chestplate,Belt,Umbrella,Snorkel,,,,,,,,,4193,,,
8949,Ape,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9397,,,
8950,Dog,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9448,,,
8951,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,,,
8952,Arcane,7,Camo Suit,Chestplate,Belt,Umbrella,Covered Helmet,Ski Goggles,Watch,,,,,,198,,,
8953,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,,,
8954,Bear,5,Chestplate,Belt,X-Ray,Wool Boots,Jo-Jo,,,,,,,,1343,,,
8955,Robot,4,Camo Suit,Belt,Covered Helmet,Harpoon,,,,,,,,,4715,,,
8956,Arcane,4,Chestplate,Belt,Watch,Blaster,,,,,,,,,2022,,,
8957,Robot,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9206,,,
8958,Bear,3,Chestplate,Amulet,Belt,,,,,,,,,,7718,,,
8959,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,,,
8960,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,2358,1.0,7200.5,79.0
8961,Robot,5,Belt,Umbrella,Covered Helmet,Eye Patch,Revolver,,,,,,,,1843,,,
8962,Parrot,3,Camo Suit,Belt,Pistol,,,,,,,,,,4328,,,
8963,Bull,1,Chestplate,,,,,,,,,,,,60,,,
8964,Alien,2,Belt,Flag,,,,,,,,,,,5475,1.0,6169.0,28.0
8965,Cat,6,Special Background,Chestplate,Belt,Covered Helmet,Snorkel,Pistol,,,,,,,1255,,,
8966,Dog,4,Chestplate,Belt,X-Ray,Revolver,,,,,,,,,4704,,,
8967,Lion,4,Special Background,Belt,Jetpack,Umbrella,,,,,,,,,1899,,,
8968,Tiger,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,5667,,,
8969,Parrot,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,7155,,,
8970,Robot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9719,,,
8971,Dog,4,Chestplate,Belt,Sun Glasses,Lamp Fish,,,,,,,,,2028,1.0,2000.0,261.0
8972,Shark,2,Chestplate,Belt,,,,,,,,,,,1561,,,
8973,Lion,3,Chestplate,Covered Helmet,Harpoon,,,,,,,,,,3802,1.0,2500.0,261.0
8974,Robot,5,Star Suit,Amulet,Belt,Covered Helmet,Sun Glasses,,,,,,,,3961,,,
8975,Dog,2,Belt,Covered Helmet,,,,,,,,,,,8991,,,
8976,Lion,4,Star Suit,Chestplate,Belt,VR,,,,,,,,,5162,2.0,6100.0,110.0
8977,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
8978,Dog,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9448,,,
8979,Dog,3,Chestplate,Covered Helmet,Lamp Fish,,,,,,,,,,3593,3.0,5000.0,164.0
8980,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,Flag,,,,,,,1489,,,
8981,Ape,3,Star Suit,Belt,VR,,,,,,,,,,7611,1.0,3000.0,219.0
8982,Bear,2,Belt,Covered Helmet,,,,,,,,,,,8116,,,
8983,Robot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9719,1.0,3999.0,259.0
8984,Alien,5,Chestplate,Amulet,Belt,Watch,Flowers,,,,,,,,3142,,,
8985,Cat,6,Camo Suit,Chestplate,Belt,Jetpack,Watch,Binoculars,,,,,,,635,,,
8986,Tiger,5,Camo Suit,Chestplate,Belt,Watch,Wool Boots,,,,,,,,5205,,,
8987,Dog,2,Chestplate,Blaster,,,,,,,,,,,3085,1.0,4149.0,231.0
8988,Cat,4,Camo Suit,Belt,Covered Helmet,Sun Glasses,,,,,,,,,6862,,,
8989,Alien,5,Chestplate,Belt,Covered Helmet,Wool Boots,Revolver,,,,,,,,4722,,,
8990,Dog,5,Camo Suit,Chestplate,Amulet,Belt,Sun Glasses,,,,,,,,4332,3.0,6400.0,98.0
8991,Lion,6,Special Background,Chestplate,Belt,VR,Wool Boots,Arc,,,,,,,636,,,
8992,Alien,4,Star Suit,Belt,Covered Helmet,Arc,,,,,,,,,4050,,,
8993,Alien,6,Star Suit,Chestplate,Amulet,Belt,Covered Helmet,VR,,,,,,,2145,2.0,4126.0,254.0
8994,Lion,5,Special Background,Camo Suit,Belt,Covered Helmet,Flag,,,,,,,,2586,,,
8995,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,1.0,4500.0,212.0
8996,Arcane,5,Chestplate,Belt,Umbrella,Covered Helmet,Ski Goggles,,,,,,,,2412,1.0,3468.0,259.0
8997,Dog,3,Star Suit,Chestplate,Belt,,,,,,,,,,9663,,,
